Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion
Piso en calle de la Laguna, Vista Alegre, Madrid;325000;4 hab.;120 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior con ascensor
Piso en calle Abolengo, Vista Alegre, Madrid;169000;1 hab.;61 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior sin ascensor
Piso en calle de la Laguna, Vista Alegre, Madrid;198000;2 hab.;60 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior sin ascensor
Piso en calle del Espinar, Vista Alegre, Madrid;189000;3 hab.;76 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior sin ascensor
Piso en paseo de Marcelino Camacho, Vista Alegre, Madrid;199500;3 hab.;74 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª exterior con ascensor
Piso en calle de la Oca, Vista Alegre, Madrid;269000;3 hab.;72 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª interior con ascensor
Piso en avenida de Nuestra Señora de Fátima, Vista Alegre, Madrid;395000;4 hab.;153 m²;madrid;carabanchel;vista-alegre;Garaje incluido;Planta 3ª exterior con ascensor
Chalet adosado en calle Tintas, Vista Alegre, Madrid;599000;6 hab.;337 m²;madrid;carabanchel;vista-alegre;Garaje incluido;No tiene
Piso en calle de la Oca, Vista Alegre, Madrid;234900;3 hab.;82 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª interior con ascensor
Piso en calle del General Ricardos, Vista Alegre, Madrid;208000;3 hab.;75 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior sin ascensor
Piso en calle de la Laguna, Vista Alegre, Madrid;325000;4 hab.;119 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior con ascensor
Piso en calle del General Ricardos, Vista Alegre, Madrid;208000;3 hab.;75 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior sin ascensor
Piso en calle del Espinar, 30, Vista Alegre, Madrid;260000;3 hab.;170 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior sin ascensor
Piso en calle de Ramón Serrano, Vista Alegre, Madrid;169000;2 hab.;50 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior sin ascensor
Piso en avenida de Nuestra Señora de Fátima, Vista Alegre, Madrid;395000;4 hab.;153 m²;madrid;carabanchel;vista-alegre;Garaje incluido;Planta 3ª exterior con ascensor
Estudio en calle de Ramón Serrano, Vista Alegre, Madrid;135000;no definido;43 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior con ascensor
Piso en Vista Alegre, Madrid;179000;2 hab.;51 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior con ascensor
Piso en Vista Alegre, Madrid;210000;3 hab.;65 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior sin ascensor
Piso en avenida de Nuestra Señora de Valvanera, 101 -91, Vista Alegre, Madrid;135000;1 hab.;46 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior sin ascensor
Dúplex en calle de la Laguna, Vista Alegre, Madrid;303000;3 hab.;112 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª exterior sin ascensor
Piso en calle del Parque Eugenia de Montijo, Vista Alegre, Madrid;116200;3 hab.;73 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª exterior con ascensor
Piso en Vista Alegre, Madrid;115000;3 hab.;82 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior sin ascensor
Casa o chalet independiente en Vista Alegre, Madrid;400000;1 hab.;110 m²;madrid;carabanchel;vista-alegre;No;No tiene
Piso en calle Alfaro, 30, Vista Alegre, Madrid;275000;4 hab.;110 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª interior sin ascensor
Piso en avenida de la Plaza de Toros, Vista Alegre, Madrid;255000;3 hab.;95 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior sin ascensor
Piso en calle de la Laguna, Vista Alegre, Madrid;195000;1 hab.;45 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior con ascensor
Piso en avenida de Nuestra Señora de Fátima, 31, Vista Alegre, Madrid;220000;3 hab.;70 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª exterior con ascensor
Piso en Vista Alegre, Madrid;262000;2 hab.;101 m²;madrid;carabanchel;vista-alegre;Garaje incluido;Planta 2ª exterior sin ascensor
Piso en Vista Alegre, Madrid;158500;2 hab.;45 m²;madrid;carabanchel;vista-alegre;No;Bajo exterior sin ascensor
Piso en calle Bruno García, 33, Vista Alegre, Madrid;199900;3 hab.;78 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior con ascensor
Piso en calle del Parque Eugenia de Montijo, 54, Vista Alegre, Madrid;159900;2 hab.;60 m²;madrid;carabanchel;vista-alegre;Garaje incluido;Bajo exterior con ascensor
Piso en calle de la Gaviota, Vista Alegre, Madrid;200000;3 hab.;70 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior con ascensor
Piso en Vista Alegre, Madrid;259000;3 hab.;75 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior sin ascensor
Piso en calle de San Meliton, Vista Alegre, Madrid;153000;2 hab.;54 m²;madrid;carabanchel;vista-alegre;No;Planta 2ª interior con ascensor
Piso en Vista Alegre, Madrid;250000;3 hab.;80 m²;madrid;carabanchel;vista-alegre;No;Planta 3ª exterior con ascensor
Piso en calle Guabairo, Vista Alegre, Madrid;279900;3 hab.;75 m²;madrid;carabanchel;vista-alegre;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle de la Oca, Vista Alegre, Madrid;236000;3 hab.;86 m²;madrid;carabanchel;vista-alegre;No;Planta 5ª exterior con ascensor
Piso en Vista Alegre, Madrid;159000;3 hab.;70 m²;madrid;carabanchel;vista-alegre;No;Planta 5ª exterior sin ascensor
Ático en calle Julia Nebot, Vista Alegre, Madrid;255000;3 hab.;64 m²;madrid;carabanchel;vista-alegre;No;Planta 4ª exterior sin ascensor
Piso en calle de Camichi, Vista Alegre, Madrid;179000;2 hab.;61 m²;madrid;carabanchel;vista-alegre;No;Bajo interior sin ascensor
Piso en calle de Eugenia de Montijo, Vista Alegre, Madrid;169950;1 hab.;55 m²;madrid;carabanchel;vista-alegre;No;Planta 5ª exterior con ascensor
Piso en paseo de Marcelino Camacho, 40, Vista Alegre, Madrid;219000;2 hab.;62 m²;madrid;carabanchel;vista-alegre;No;Planta 4ª exterior con ascensor
Piso en calle del Parque Eugenia de Montijo, Vista Alegre, Madrid;232000;3 hab.;85 m²;madrid;carabanchel;vista-alegre;No;Planta 4ª exterior sin ascensor
Piso en calle Alfaro, Vista Alegre, Madrid;275000;4 hab.;89 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª interior sin ascensor
Piso en camino de los Ingenieros, Vista Alegre, Madrid;195000;3 hab.;67 m²;madrid;carabanchel;vista-alegre;No;Planta 1ª exterior con ascensor
