Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
28006 Alcobendas;3 personas;Total (superficie útil);8.743
28006 Alcobendas;4 personas;Total (superficie útil);8.178
28006 Alcobendas;5 o más personas;Total (superficie útil);5.049
28007 Alcorcón;Total (tamaño del hogar);Total (superficie útil);65.867
28007 Alcorcón;1 persona;Total (superficie útil);15.172
28007 Alcorcón;2 personas;Total (superficie útil);19.755
28007 Alcorcón;3 personas;Total (superficie útil);14.280
28007 Alcorcón;4 personas;Total (superficie útil);12.139
28007 Alcorcón;5 o más personas;Total (superficie útil);4.521
28013 Aranjuez;Total (tamaño del hogar);Total (superficie útil);21.571
28013 Aranjuez;1 persona;Total (superficie útil);4.749
28013 Aranjuez;2 personas;Total (superficie útil);5.710
28013 Aranjuez;3 personas;Total (superficie útil);4.616
28013 Aranjuez;4 personas;Total (superficie útil);4.345
28013 Aranjuez;5 o más personas;Total (superficie útil);2.151
28014 Arganda del Rey;Total (tamaño del hogar);Total (superficie útil);19.643
28014 Arganda del Rey;1 persona;Total (superficie útil);3.425
28014 Arganda del Rey;2 personas;Total (superficie útil);5.210
