Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
03133 Torrevieja;Vivienda principal;De 1921 a 1940;15
03133 Torrevieja;Vivienda principal;De 1941 a 1950;13
03133 Torrevieja;Vivienda principal;De 1951 a 1960;113
03133 Torrevieja;Vivienda principal;De 1961 a 1970;602
03133 Torrevieja;Vivienda principal;De 1971 a 1980;3.759
03133 Torrevieja;Vivienda principal;De 1981 a 1990;9.998
03133 Torrevieja;Vivienda principal;De 1991 a 2000;11.983
03133 Torrevieja;Vivienda principal;De 2001 a 2010;9.549
03133 Torrevieja;Vivienda principal;De 2011 a 2020;620
03133 Torrevieja;Vivienda principal;No consta;163
03133 Torrevieja;Vivienda no principal;Total;85.907
03133 Torrevieja;Vivienda no principal;Antes de 1900;2
03133 Torrevieja;Vivienda no principal;De 1900 a 1920;31
03133 Torrevieja;Vivienda no principal;De 1921 a 1940;35
03133 Torrevieja;Vivienda no principal;De 1941 a 1950;55
03133 Torrevieja;Vivienda no principal;De 1951 a 1960;220
03133 Torrevieja;Vivienda no principal;De 1961 a 1970;1.044
03133 Torrevieja;Vivienda no principal;De 1971 a 1980;7.652
03133 Torrevieja;Vivienda no principal;De 1981 a 1990;23.941
03133 Torrevieja;Vivienda no principal;De 1991 a 2000;29.578
03133 Torrevieja;Vivienda no principal;De 2001 a 2010;18.860
03133 Torrevieja;Vivienda no principal;De 2011 a 2020;4.064
03133 Torrevieja;Vivienda no principal;No consta;425
04013 Almería;Total;Total;100.957
04013 Almería;Total;Antes de 1900;66
04013 Almería;Total;De 1900 a 1920;915
04013 Almería;Total;De 1921 a 1940;3.456
04013 Almería;Total;De 1941 a 1950;1.456
04013 Almería;Total;De 1951 a 1960;4.084
04013 Almería;Total;De 1961 a 1970;17.061
04013 Almería;Total;De 1971 a 1980;19.532
04013 Almería;Total;De 1981 a 1990;12.669
04013 Almería;Total;De 1991 a 2000;13.947
04013 Almería;Total;De 2001 a 2010;22.353
04013 Almería;Total;De 2011 a 2020;2.513
04013 Almería;Total;No consta;2.905
04013 Almería;Vivienda principal;Total;75.980
04013 Almería;Vivienda principal;Antes de 1900;38
04013 Almería;Vivienda principal;De 1900 a 1920;542
04013 Almería;Vivienda principal;De 1921 a 1940;2.212
04013 Almería;Vivienda principal;De 1941 a 1950;1.014
